ProductionID,ProductionDate,Region,Manager,ProductType,UnitsProduced,Age,TotalCost,Gender
1,1/25/2024,North,Chris Green,Furniture,134,31,553501.75,Female
2,7/3/2024,East,Emily Davis,Electronics,59,50,294144.73,Unknown
3,4/9/2024,West,Mike Brown,Furniture,205,52,700925.08,Unknown
4,12/19/2023,East,Emily Davis,Automobiles,149,28,235161.8,Male
5,1/5/2024,South,David White,Machinery,451,28,1760826.5,Male
6,7/13/2024,East,Nancy Grey,Machinery,73,25,132825.4,Female
7,7/4/2024,South,Jane Smith,Electronics,209,37,654528.51,Male
8,6/3/2024,West,Emily Davis,Machinery,434,35,1095900.35,Male
9,4/15/2024,North,Laura Black,Machinery,129,31,537657.54,Female
10,9/13/2024,East,Mike Brown,Automobiles,114,58,119445.75,Unknown
11,3/31/2024,North,Emily Davis,Electronics,397,31,800325.54,Female
12,9/3/2024,East,David White,Electronics,161,22,568702.95,Male
13,8/27/2024,West,Sarah Lee,Automobiles,54,41,135903.43,Male
14,6/6/2024,North,Nancy Grey,Electronics,495,26,567145.58,Unknown
15,4/29/2024,West,David White,Electronics,167,27,534632.13,Unknown
16,8/15/2024,West,Chris Green,Electronics,268,33,399705.97,Male
17,10/28/2023,South,Jane Smith,Automobiles,494,59,1630851.06,Female
18,5/3/2024,West,David White,Furniture,235,58,1065623.09,Male
19,9/5/2023,West,David White,Machinery,177,38,567058.36,Male
20,9/9/2024,East,Andrew Blue,Machinery,170,58,172791.95,Unknown
21,2/23/2024,West,Andrew Blue,Electronics,261,38,377423.26,Male
22,2/17/2024,East,Andrew Blue,Automobiles,493,36,788102.11,Male
23,9/25/2023,South,Nancy Grey,Machinery,267,42,378751.24,Unknown
24,4/17/2024,South,John Doe,Furniture,85,28,123841.43,Female
25,3/18/2024,South,Jane Smith,Furniture,175,24,410366.55,Unknown
26,3/31/2024,West,Sarah Lee,Machinery,51,34,57539.65,Male
27,4/14/2024,North,Emily Davis,Electronics,444,25,2036623.81,Unknown
28,6/18/2024,East,Laura Black,Electronics,416,35,1734565.73,Unknown
29,12/18/2023,North,Emily Davis,Machinery,454,57,1281763.73,Female
30,1/26/2024,South,Laura Black,Furniture,315,38,1380958.03,Female
31,5/23/2024,South,Emily Davis,Automobiles,245,36,722396.06,Unknown
32,1/21/2024,North,John Doe,Furniture,484,50,1760822.56,Unknown
33,8/31/2024,North,Emily Davis,Automobiles,420,35,1240909.7,Unknown
34,8/18/2024,West,Andrew Blue,Electronics,146,55,214798.33,Male
35,7/24/2024,West,John Doe,Automobiles,215,28,406648.96,Male
36,5/14/2024,West,Emily Davis,Electronics,132,28,510180.02,Unknown
37,11/15/2023,South,Nancy Grey,Furniture,143,59,380409.57,Unknown
